sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
WH03-L-Purple,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Autumn Pullie-L-Purple,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,57,,,,autumn-pullie-l-purple,,,,/w/h/wh03-purple_main.jpg,,/w/h/wh03-purple_main.jpg,,/w/h/wh03-purple_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Purple,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh03-purple_main.jpg,,,,,,,,,,,
WH03-L-Red,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Autumn Pullie-L-Red,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,57,,,,autumn-pullie-l-red,,,,/w/h/wh03-red_main.jpg,,/w/h/wh03-red_main.jpg,,/w/h/wh03-red_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Red,size=L",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/h/wh03-red_alt1.jpg,/w/h/wh03-red_back.jpg,/w/h/wh03-red_main.jpg",",,",,,,,,,,,,
WH03-XL-Green,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Autumn Pullie-XL-Green,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,57,,,,autumn-pullie-xl-green,,,,/w/h/wh03-green_main.jpg,,/w/h/wh03-green_main.jpg,,/w/h/wh03-green_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Green,size=XL",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh03-green_main.jpg,,,,,,,,,,,
WH03-XL-Purple,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Autumn Pullie-XL-Purple,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,57,,,,autumn-pullie-xl-purple,,,,/w/h/wh03-purple_main.jpg,,/w/h/wh03-purple_main.jpg,,/w/h/wh03-purple_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Purple,size=XL",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh03-purple_main.jpg,,,,,,,,,,,
WH03-XL-Red,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Autumn Pullie-XL-Red,"<p>With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.</p>
<p>&bull; Cayenne Short-Sleeve roll neck sweatshirt. <br />&bull; Relaxed fit. <br />&bull; Short-Sleeves. <br />&bull; Machine wash/dry.</p>",,1,1,Taxable Goods,Not Visible Individually,57,,,,autumn-pullie-xl-red,,,,/w/h/wh03-red_main.jpg,,/w/h/wh03-red_main.jpg,,/w/h/wh03-red_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Red,size=XL",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/h/wh03-red_alt1.jpg,/w/h/wh03-red_back.jpg,/w/h/wh03-red_main.jpg",",,",,,,,,,,,,
WH04-XS-Blue,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Miko Pullover Hoodie-XS-Blue,"<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",,1,1,Taxable Goods,Not Visible Individually,69,,,,miko-pullover-hoodie-xs-blue,,,,/w/h/wh04-blue_main.jpg,,/w/h/wh04-blue_main.jpg,,/w/h/wh04-blue_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/h/wh04-blue_alt1.jpg,/w/h/wh04-blue_back.jpg,/w/h/wh04-blue_main.jpg",",,",,,,,,,,,,
WH04-XS-Orange,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Miko Pullover Hoodie-XS-Orange,"<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",,1,1,Taxable Goods,Not Visible Individually,69,,,,miko-pullover-hoodie-xs-orange,,,,/w/h/wh04-orange_main.jpg,,/w/h/wh04-orange_main.jpg,,/w/h/wh04-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh04-orange_main.jpg,,,,,,,,,,,
WH04-XS-Purple,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Miko Pullover Hoodie-XS-Purple,"<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",,1,1,Taxable Goods,Not Visible Individually,69,,,,miko-pullover-hoodie-xs-purple,,,,/w/h/wh04-purple_main.jpg,,/w/h/wh04-purple_main.jpg,,/w/h/wh04-purple_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Purple,size=XS",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh04-purple_main.jpg,,,,,,,,,,,
WH04-S-Blue,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Miko Pullover Hoodie-S-Blue,"<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",,1,1,Taxable Goods,Not Visible Individually,69,,,,miko-pullover-hoodie-s-blue,,,,/w/h/wh04-blue_main.jpg,,/w/h/wh04-blue_main.jpg,,/w/h/wh04-blue_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Blue,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,"/w/h/wh04-blue_alt1.jpg,/w/h/wh04-blue_back.jpg,/w/h/wh04-blue_main.jpg",",,",,,,,,,,,,
WH04-S-Orange,,Top,simple,Default Category/Women/Tops/Hoodies & Sweatshirts,base,Miko Pullover Hoodie-S-Orange,"<p>After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.</p>
<p>&bull; Teal two-tone hoodie.<br />&bull; Low scoop neckline.<br />&bull; Adjustable hood drawstrings.<br />&bull; Longer rounded hemline for extra back coverage.<br />&bull; Long-Sleeve style.</p>",,1,1,Taxable Goods,Not Visible Individually,69,,,,miko-pullover-hoodie-s-orange,,,,/w/h/wh04-orange_main.jpg,,/w/h/wh04-orange_main.jpg,,/w/h/wh04-orange_main.jpg,,,,"10/24/16, 12:37 PM","10/24/16, 12:37 PM",,,Block after Info Column,,,,,,,,,,,Use config,,"color=Orange,size=S",100,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,,,,,/w/h/wh04-orange_main.jpg,,,,,,,,,,,
