store_view_code,attribute_set_code,path,name,is_active,is_anchor,include_in_menu,display_mode,url_key,description,image_path,meta_title,meta_keywords,meta_description,landing_page,position,path_in_store,custom_design,custom_design_from,custom_design_to,page_layout,custom_layout_update,available_sort_by,default_sort_by,custom_use_parent_settings,custom_apply_to_products,filter_price_range,created_at,updated_at,additional_attributes
"",Default,Default Category/What's New,What's New,1,1,1,Static block only,,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/What's New,Was ist neu,1,1,1,Static block only,was-ist-neu,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/What's New,What's New,1,1,1,Static block only,,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women,Women,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
de_de,Default,Default Category/Women,Frauen,1,0,1,Static block only,frauen,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
en_us,Default,Default Category/Women,Women,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Default Category/Women/Tops,Tops,1,1,1,,tops-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Tops,Oberteile,1,1,1,,oberteile-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Tops,Tops,1,1,1,,tops-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Tops/Jackets,Jackets,1,1,1,,jackets-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Tops/Jackets,Jacken,1,1,1,,jacken-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Tops/Jackets,Jackets,1,1,1,,jackets-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Tops/Hoodies & Sweatshirts,Hoodies & Sweatshirts,1,1,1,,hoodies-and-sweatshirts-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Tops/Hoodies & Sweatshirts,Hoodies & Sweatshirts,1,1,1,,hoodies-und-sweatshirts-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Tops/Hoodies & Sweatshirts,Hoodies & Sweatshirts,1,1,1,,hoodies-and-sweatshirts-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Tops/Tees,Tees,1,1,1,,tees-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Tops/Tees,Tees,1,1,1,,tees-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Tops/Tees,Tees,1,1,1,,tees-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Tops/Bras & Tanks,Bras & Tanks,1,1,1,,tanks-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Tops/Bras & Tanks,Bras & Tanks,1,1,1,,tanks-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Tops/Bras & Tanks,Bras & Tanks,1,1,1,,tanks-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Bottoms,Bottoms,1,1,1,,bottoms-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Bottoms,Unterteile,1,1,1,,unterteile-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Bottoms,Bottoms,1,1,1,,bottoms-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Bottoms/Pants,Pants,1,1,1,,pants-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Bottoms/Pants,Unterhosen,1,1,1,,unterhosen-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Bottoms/Pants,Pants,1,1,1,,pants-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Women/Bottoms/Shorts,Shorts,1,1,1,,shorts-women,,,,,,,,,,,,,,,,,,,,,
de_de,Default,Default Category/Women/Bottoms/Shorts,Kurze Hosen,1,1,1,,kurze-hosen-frauen,,,,,,,,,,,,,,,,,,,,,
en_us,Default,Default Category/Women/Bottoms/Shorts,Shorts,1,1,1,,shorts-women,,,,,,,,,,,,,,,,,,,,,
"",Default,Default Category/Men,Men,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
de_de,Default,Default Category/Men,Männer,1,0,1,Static block only,maenner,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
en_us,Default,Default Category/Men,Men,1,0,1,Static block only,,,,,,,,,,,,,,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>",,,,,,,,
"",Default,Default Category/Men/Tops,Tops,1,1,1,,tops-men,,,,,,,,,,,,,,,,,,,,,
