store_view_code,attribute_set_code,path,description,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,created_at,updated_at,additional_attributes
"",Default,Default Category/What's New,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women/Tops,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women/Tops/Jackets,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0,position=3"
"",Default,Default Category/Women/Tops/Hoodies & Sweatshirts,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0,position=2"
"",Default,Default Category/Women/Tops/Tees,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0,position=1"
"",Default,Default Category/Women/Tops/Bras & Tanks,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women/Bottoms,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women/Bottoms/Pants,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Women/Bottoms/Shorts,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Tops,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Tops/Jackets,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Tops/Hoodies & Sweatshirts,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Tops/Tees,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Tops/Tanks,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Bottoms,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Bottoms/Pants,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Men/Bottoms/Shorts,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Gear,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Gear/Bags,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Gear/Fitness Equipment,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Gear/Watches,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections,,,,,,,,,,"is_active=0,is_anchor=0,is_virtual_category=1"
"",Default,Default Category/Collections/New Luma Yoga Collection,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections/Erin Recommends,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections/Performance Fabrics,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections/Eco Friendly,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections/Performance Sportswear New,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Collections/Eco Collection New,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Training,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Training/Video Download,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Promotions,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Promotions/Women Sale,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Promotions/Men Sale,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Promotions/Pants,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Promotions/Tees,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
"",Default,Default Category/Sale,,,,,,,,,,"is_active=1,is_anchor=0,is_virtual_category=0"
