attribute_set_name,entity_type_code,sort_order,attribute_group_name,attribute_group_code,attribute_group_tab_group_code,attribute_group_sort_order,default_id
Bag,catalog_product,2,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Top,catalog_product,3,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Bottom,catalog_product,4,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Gear,catalog_product,5,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Sprite Stasis Ball,catalog_product,6,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Sprite Yoga Strap,catalog_product,7,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Downloadable,catalog_product,8,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
Gift Card,catalog_product,8,Product Details,product-details,basic,10,1
"",,,Content,content,basic,15,0
"",,,Bundle Items,bundle-items,,16,0
"",,,Images,image-management,basic,20,0
"",,,Search Engine Optimization,search-engine-optimization,basic,30,0
"",,,Advanced Pricing,advanced-pricing,advanced,40,0
"",,,Design,design,advanced,50,0
"",,,Schedule Design Update,schedule-design-update,advanced,55,0
"",,,Autosettings,autosettings,advanced,60,0
"",,,Gift Options,gift-options,,61,0
