store_view_code,attribute_set_name,attribute_group_name,entity_type_code,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,attribute_option_values,attribute_option_swatch,attribute_option_sort_order,frontend_input_renderer,apply_to,display_pattern,is_required,is_user_defined,default_value,is_unique,note,sort_order,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,is_required_in_admin_store,is_used_in_grid,is_visible_in_grid,is_filterable_in_grid,search_weigh,additional_data,is_used_in_autocomplete,is_displayed_in_autocomplete,is_used_in_spellcheck,facet_min_coverage_rate,facet_max_size,facet_sort_order,display_precision
"","Bag,Bottom,Gear,Sprite Stasis Ball,Sprite Yoga Strap,Top","Product Details,Product Details,Product Details,Product Details,Product Details,Product Details",catalog_product,activity,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Activity,,,"Gym,Hiking,Trail,Urban,Overnight,School,Travel,Yoga,Recreation,Sports,Athletic,Outdoor",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Gear,Sprite Stasis Ball,Sprite Yoga Strap","Product Details,Product Details,Product Details",catalog_product,category_gear,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Category Gear,,,"Exercise,Hydration,Cardio,Electronic,Timepiece,Fashion",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bottom,Top","Product Details,Product Details",catalog_product,climate,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Climate,,,"Indoor,Warm,Mild,Cool,Spring,Hot,All-Weather,Windy,Wintry,Cold,Rainy",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Gear,Sprite Stasis Ball,Sprite Yoga Strap,Top","Product Details,Product Details,Product Details,Product Details,Product Details,Product Details",catalog_product,color,Magento\Catalog\Model\ResourceModel\Eav\Attribute,Magento\Eav\Model\Entity\Attribute\Backend\DefaultBackend,int,,,select,Color,,,"Black,Blue,Brown,Gray,Green,Lavender,Multi,Orange,Purple,Red,White,Yellow","type=1,value=#000000|type=1,value=#1857f7|type=1,value=#945454|type=1,value=#8f8f8f|type=1,value=#53a828|type=1,value=#ce64d4|type=1,value=#ffffff|type=1,value=#eb6703|type=1,value=#ef3dff|type=1,value=#ff0000|type=1,value=#ffffff|type=1,value=#ffd500",,,"simple,virtual,configurable",,,1,Blue,,,,,,,,,,,,,,,,,,,,,,,,"swatch_input_type=visual,update_product_preview_image=1,use_product_image_for_swatch=0",,,,,,,
"",Top,Product Details,catalog_product,collar,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Collar,,,"Gray,Red,Blue,Black,Orange,Purple,Green,White,Yellow,Brown,Lavender",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Top","Product Details,Product Details,Product Details",catalog_product,eco_collection,,,int,,,boolean,Eco Collection,,Magento\Eav\Model\Entity\Attribute\Source\Boolean,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Bag,Bottom,Gear,Top","Product Details,Product Details,Product Details,Product Details",catalog_product,erin_recommends,,,int,,,boolean,Erin Recommends,,Magento\Eav\Model\Entity\Attribute\Source\Boolean,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Bag,Product Details,catalog_product,features_bags,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Features,,,"Audio Pocket,Waterproof,Lightweight,Laptop Sleeve,Reflective,Lockable,Flapover,Hydration Pocket,Wheeled,TSA Approved",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Downloadable,"Product Details",catalog_product,format,,,int,,,select,Format,,Magento\Eav\Model\Entity\Attribute\Source\Table,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Gear,Sprite Stasis Ball,Sprite Yoga Strap","Product Details,Product Details,Product Details",catalog_product,gender,,Magento\Eav\Model\Entity\Attribute\Backend\ArrayBackend,varchar,,,multiselect,Gender,,,"Men,Women,Boys,Girls,Unisex",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
